Omar Abou El khir,Microsoft
Tolga Acar,Microsoft
Mahmoud Adada,Microsoft
Deanne Adams,Microsoft
Logan Adams,Microsoft
Alekh Agarwal,Microsoft
Sharad Agarwal,Microsoft
Ronald Aigner,Microsoft
Jacob Alber,Microsoft
Miltos Allamanis,Microsoft
Hunt Allcott,Microsoft
Zeyuan Allen Zhu,Microsoft
Javier Alvarez Valle,Microsoft
Saleema Amershi,Microsoft
Ganesh Ananthanarayanan,Microsoft
Sean Andrist,Microsoft
Pete Ansell,Microsoft
Carl Anselmi,Microsoft
Andrey Antipov,Microsoft
Arvind Arasu,Microsoft
Kapil Arya,Microsoft
Behnaz Arzani,Microsoft
Pavel Aseev,Microsoft
B Ashok,Microsoft
Ahmed Ashour,Microsoft
Youssef Assaf,Microsoft
Adam Atkinson,Microsoft
Morgane Austern,Microsoft
John Azariah,Microsoft
Ani Babaian,Microsoft
Moshe Babaioff,Microsoft
Philip Bachman,Microsoft
Anirudh Badam,Microsoft
Carmen Badea,Microsoft
Victor Bahl,Microsoft
Wei Bai,Microsoft
Peter Bailey,Microsoft
Andrew Bainbridge,Microsoft
Ram Bairi,Microsoft
Ali Bakhoda,Microsoft
Shobana Balakrishnan,Microsoft
Kalika Bali,Microsoft
Matthew Balkwill,Microsoft
Tom Ball,Microsoft
Hitesh Ballani,Microsoft
Richard Banks,Microsoft
Chetan Bansal,Microsoft
Jianmin Bao,Microsoft
Tavian Barnes,Microsoft
Mike Barnett,Microsoft
Solon Barocas,Microsoft
Emad Barsoum,Microsoft
Sumit Basu,Microsoft
Steven Bathiche,Microsoft
Uros Batricevic,Microsoft
Keith Battocchi,Microsoft
Bela Bauer,Microsoft
Andrew Baumann,Microsoft
Nancy Baym,Microsoft
Jay Beavers,Microsoft
Ryan Beckett,Microsoft
Andrew Begel,Microsoft
Danielle Belgrave,Microsoft
Gordon Bell,Microsoft
Luiz Belussi,Microsoft
Josh Benaloh,Microsoft
Paul Bennett,Microsoft
Simone Berkouwer,Microsoft
Phil Bernstein,Microsoft
Michael Beverland,Microsoft
Ranjita Bhagwan,Microsoft
Jiang Bian,Microsoft
Ricardo Bianchini,Microsoft
Asia J Biega,Microsoft
Dave Bignell,Microsoft
Christian Bird,Microsoft
Sarah Bird,Microsoft
Christopher Bishop,Microsoft
Hadas Bitran,Microsoft
Ray Bittner,Microsoft
Nikolaj Bjrner,Microsoft
Richard Black,Microsoft
Ambrosio Blanco,Microsoft
William Blum,Microsoft
Sandy Blyth,Microsoft
Alex Bocharov,Microsoft
Andreas Bode,Microsoft
Peter Bodik,Microsoft
Federica Bogo,Microsoft
Dan Bohus,Microsoft
Bill Bolosky,Microsoft
Adrian Bonar,Microsoft
Barry Bond,Microsoft
Anand Bonde,Microsoft
Parsa Bonderson,Microsoft
Christian Borgs,Microsoft
Ella Bounimova,Microsoft
Arnaud Bousquet,Microsoft
Danielle Bragg,Microsoft
Sebastian Braun,Microsoft
Donald Brinkman,Microsoft
Chris Brockett,Microsoft
Marc Brockschmidt,Microsoft
Dave Brown,Microsoft
A J Brush,Microsoft
Sebastien Bubeck,Microsoft
William Buchwalter,Microsoft
Sebastian Burckhardt,Microsoft
Doug Burger,Microsoft
Laurent Bussard,Microsoft
Bill Buxton,Microsoft
Sergey Bykov,Microsoft
Cedric Cagniart,Microsoft
Matt Calder,Microsoft
Sydnee Caldwell,Microsoft
Pashmina Cameron,Microsoft
Gary Campbell,Microsoft
Jon Campbell,Microsoft
Ting Cao,Microsoft
Xu Cao,Microsoft
Yue Cao,Microsoft
Ying Cao,Microsoft
Tony Carbary,Microsoft
Joe Cardoza,Microsoft
Jonathan M Carlson,Microsoft
Doug Carmean,Microsoft
Trevor Carnahan,Microsoft
Philippe Caroff,Microsoft
David Carter,Microsoft
Rich Caruana,Microsoft
Tom Cashman,Microsoft
Lucas Casparis,Microsoft
Miguel Castro,Microsoft
Adrian Caulfield,Microsoft
Asli Celikyilmaz,Microsoft
Kaushik Chakrabarti,Microsoft
Achraf Chalabi,Microsoft
Amaury Chamayou,Microsoft
Ranveer Chandra,Microsoft
Badrish Chandramouli,Microsoft
Vageesh Chandramouli,Microsoft
Nishanth Chandran,Microsoft
Nirupama Chandrasekaran,Microsoft
Eric Chang,Microsoft
Peter Chang,Microsoft
Wayne Chang,Microsoft
Byron Changuion,Microsoft
Rajan Chari,Microsoft
Melissa Chase,Microsoft
Andromachi Chatzieleftheriou,Microsoft
Gohar Irfan Chaudhry,Microsoft
Surajit Chaudhuri,Microsoft
Jennifer Chayes,Microsoft
Alvin Chen,Microsoft
Mei Chen,Microsoft
Wei ge Chen,Microsoft
Wei Chen,Microsoft
Xie Chen,Microsoft
Bei Chen,Microsoft
Hao Chen,Microsoft
Guojun Chen,Microsoft
Shuo Chen,Microsoft
Yuan Jyue Chen,Microsoft
Yinpeng Chen,Microsoft
Tony Chen,Microsoft
Kai Chen,Microsoft
Qi Chen,Microsoft
Yang Chen,Microsoft
Wei Chen,Microsoft
Nicholas Chen,Microsoft
Liang Jeff Chen,Microsoft
Dong Chen,Microsoft
Peng Cheng,Microsoft
Lili Cheng,Microsoft
Max Chickering,Microsoft
Isabel Chien,Microsoft
Krishna Chintalapudi,Microsoft
